image,film,ligand,sa,kd,l
mf#rh#11539#R#flum#5679#30,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#31,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#32,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#33,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#34,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#35,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#36,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#37,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#38,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#39,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#40,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#41,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#42,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#43,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#44,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#45,mf5679,flum,78.6,2,0.96
mf#rh#11539#R#flum#5679#46,mf5679,flum,78.6,2,0.96
