image,ligand,sa,kd,l
mo#rh#11543#L#epib#5745#54,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#55,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#56,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#57,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#58,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#59,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#60,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#epib#5745#61,mo5745,epib,56.2,0.02,0.6
mo#rh#11543#L#flum#5714#01,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#02,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#03,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#04,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#05,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#06,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#07,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#08,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#09,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#10,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#11,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#12,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#13,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#14,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#15,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#16,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#17,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#18,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#19,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#20,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#21,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#22,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#23,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#24,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#25,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#26,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#27,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5714#28,mo5714,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#00a,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#00b,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#00c,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#00d,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#00e,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#00f,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#00g,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#00h,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#00i,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#00j,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#29,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#30,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#31,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#32,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#33,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#34,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#35,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#36,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#37,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#38,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#39,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#40,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#41,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#42,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#43,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#44,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#45,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#46,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#47,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#48,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#49,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#50,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#51,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#52,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#53,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#54,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#55,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#56,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#57,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#58,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#59,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#60,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#flum#5715#61,mo5715,flum,78.6,2,0.64
mo#rh#11543#L#kain#5724#01,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#02,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#03,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#04,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#05,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#06,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#07,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#08,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#09,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#10,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#11,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#12,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#13,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#14,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#15,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#16,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#17,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#18,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#19,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#20,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#21,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#22,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#23,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#24,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#25,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#26,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#27,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#28,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#29,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#30,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#31,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#32,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5724#33,mo5724,kain,58,12,10.8
mo#rh#11543#L#kain#5725#34,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#35,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#36,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#37,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#38,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#39,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#40,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#41,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#42,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#43,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#44,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#45,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#46,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#47,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#48,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#49,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#50,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#51,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#52,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#53,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#54,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#55,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#56,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#57,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#58,mo5725,kain,58,12,10.8
mo#rh#11543#L#kain#5725#59,mo5725,kain,58,12,10.8
